type;i;n2;M2;P1;Fr1;Fr2;weight
FRO;14.0;99.1;230.0;2.5;3000.0;4340.0;9.234518350334962
FRN;6.3;250.0;400.0;10.9;1780.0;4760.0;26.043524693581176
FRV;25.0;57.3;150.0;0.96;1600.0;4150.0;5.4039263510743325
FRN;315.0;4.29;150.0;0.07;1360.0;4800.0;5.198900743561698
RD;160.0;8.9;52.0;0.05;332.0;1200.0;3.594068110029088
RD;5.6;252.0;713.0;20.3;1100.0;4500.0;41.30552306450157
FRO;100.0;13.3;580.0;0.86;5750.0;5500.0;16.056964276341056
FRO;28.0;48.0;170.0;0.91;1610.0;3960.0;7.31263812300487
FRV;35.5;41.1;840.0;3.9;5780.0;9580.0;36.19154098810692
FRO;160.0;9.14;1720.0;1.8;8360.0;10100.0;67.49262109080549
RD;160.0;9.0;200.0;0.19;430.0;2900.0;8.559860848934221
FRN;40.0;35.4;145.0;0.57;850.0;4762.0;6.105968996211704
FRN;200.0;6.87;150.0;0.11;1320.0;4800.0;5.29677991094194
RD;125.0;11.0;100.0;0.12;400.0;2000.0;4.902097698990303
FRV;224.0;6.24;150.0;0.1;1610.0;4800.0;5.362445038521951
FRV;50.0;27.5;3360.0;10.3;8120.0;9810.0;121.23938356815482
FRN;125.0;11.7;3400.0;4.4;3840.0;7800.0;113.17612759706579
FRO;224.0;6.24;1330.0;0.92;8360.0;19100.0;72.05579628508227
FRV;80.0;16.6;3360.0;6.2;8360.0;11400.0;119.93757419684518
FRN;140.0;10.2;1800.0;2.0;4680.0;7200.0;65.43604218954073
SRO;7.3;192.2;255.0;5.5;2900.0;3200.0;9.114775953010696
FRN;180.0;7.71;1360.0;1.2;4960.0;18220.0;68.51276794002862
SRO;17.6;79.7;330.0;2.9;3000.0;4450.0;10.572278025091169
FRV;20.0;73.3;390.0;3.2;5730.0;7310.0;14.697035251155999
FRO;11.2;122.0;230.0;3.1;3000.0;4040.0;9.50865714890784
FRV;71.0;18.9;285.0;0.6;3000.0;5510.0;7.880238987417794
RD;4.5;298.0;49.0;1.6;20.0;1550.0;4.82792508910255
RD;40.0;35.0;70.0;0.27;590.0;2000.0;2.7472233369042165
FRN;10.0;138.0;380.0;5.7;2170.0;5890.0;19.613469938698593
RD;125.0;11.0;2300.0;3.4;2800.0;12000.0;75.55705437964703
RD;6.3;220.0;90.0;2.06;20.0;1700.0;6.005725229854203
FRO;28.0;50.6;1560.0;8.8;8350.0;9800.0;70.29468225549518
FRV;14.0;102.7;1050.0;12.0;8110.0;10340.0;62.80162300464717
FRV;16.0;92.5;165.0;1.7;1600.0;3550.0;6.028676792620164
FRO;125.0;10.9;2490.0;3.0;8360.0;22060.0;126.79957770777867
SRO;24.6;56.9;300.0;1.9;3000.0;5500.0;9.98020149688831
FRV;140.0;9.36;270.0;0.28;3000.0;6000.0;7.41146605955274
RD;315.0;4.2;2300.0;1.1;3000.0;13500.0;77.58841890971483
FRO;22.4;61.3;1420.0;9.7;8310.0;11180.0;72.16017183913578
FRO;45.0;32.9;840.0;3.1;5780.0;10020.0;37.097344507225074
FRV;56.0;26.1;580.0;1.7;5740.0;5600.0;15.434636432715084
FRV;90.0;15.2;180.0;0.3;1610.0;4000.0;5.683430674712977
FRN;160.0;9.0;260.0;0.26;1450.0;6200.0;9.590984076822817
FRV;224.0;6.06;750.0;0.51;5790.0;15400.0;37.04201871472617
RD;10.0;140.0;90.0;1.33;20.0;1900.0;5.803407855339852
RD;25.0;57.0;2100.0;13.0;2750.0;13500.0;77.011541231505
FRO;125.0;11.16;480.0;0.6;5740.0;8500.0;14.532128055208982
RD;8.0;175.0;49.0;0.97;110.0;720.0;3.129638955145335
FRO;14.0;103.5;460.0;5.3;5520.0;5970.0;18.875272793454528
SRO;18.4;76.2;200.0;1.7;1610.0;3750.0;6.683527140665081
FRN;14.0;98.8;540.0;5.8;1870.0;4700.0;20.57710511208668
FRV;14.0;103.5;460.0;5.3;5520.0;5970.0;17.265712609286226
FRV;100.0;13.9;3360.0;5.2;8360.0;9800.0;120.25862864937473
FRO;16.0;86.2;1470.0;14.1;8360.0;10150.0;76.88989005997088
FRV;10.0;137.7;500.0;7.7;5630.0;4980.0;17.490507929909285
